ProjectName,ExpID,ParentID,Description,StartTime,EndTime,Duration,ScoreType,Score,ParentScore,ImprovementParent,Benchmark,ImprovementBenchmark,Params
Kaggle - predict future sales,16,15.0,LGB - 5 holdouts,2020-04-27 10:44:22,2020-04-27 10:52:51,0 days 00:08:29,Average RMSE,1.1474,1.1474,-0.0,1,0.1474,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.137418560305502, (2, '201507'): 1.0142027309165658, (3, '201508'): 1.1287314359451464, (4, '201509'): 1.2756607101500226, (5, '201510'): 1.1809121828987732}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_16/importance.csv""}"
Kaggle - predict future sales,17,16.0,Added shop_category interaction,2020-04-27 10:52:52,2020-04-27 11:00:42,0 days 00:07:49,Average RMSE,1.147,1.1474,-0.0004,1,0.147,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1387125403242426, (2, '201507'): 1.0156633327382096, (3, '201508'): 1.1262656544142173, (4, '201509'): 1.2734923461307466, (5, '201510'): 1.181064478093432}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_17/importance.csv""}"
Kaggle - predict future sales,18,17.0,Bag of words - shop names,2020-04-27 11:00:43,2020-04-27 11:03:03,0 days 00:02:19,Average RMSE,1.1456,1.147,-0.0014,1,0.1456,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1383356654429109, (2, '201507'): 1.0136737346433342, (3, '201508'): 1.1262968193481233, (4, '201509'): 1.2720480820206446, (5, '201510'): 1.177626411381448}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_18/importance.csv""}"
Kaggle - predict future sales,19,18.0,Use entire history,2020-04-27 11:03:04,2020-04-27 11:09:27,0 days 00:06:23,Average RMSE,1.1479,1.1456,0.0023,1,0.1479,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201301"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1377403553004348, (2, '201507'): 1.0154423111995967, (3, '201508'): 1.1267501393986843, (4, '201509'): 1.277963009607167, (5, '201510'): 1.1817088326660834}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_19/importance.csv""}"
Kaggle - predict future sales,20,18.0,Bag of words - category names,2020-04-27 11:09:28,2020-04-27 11:18:11,0 days 00:08:42,Average RMSE,1.1457,1.1456,0.0001,1,0.1457,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1405184082963358, (2, '201507'): 1.0134971844667708, (3, '201508'): 1.125911880564755, (4, '201509'): 1.2685407419296462, (5, '201510'): 1.1800943329075917}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_20/importance.csv""}"
Kaggle - predict future sales,21,20.0,Updated colnames for bag of words,2020-04-27 11:18:14,2020-04-27 11:25:50,0 days 00:07:36,Average RMSE,1.1457,1.1457,0.0,1,0.1457,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1405184082963358, (2, '201507'): 1.0134971844667708, (3, '201508'): 1.125911880564755, (4, '201509'): 1.2685407419296462, (5, '201510'): 1.1800943329075917}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_21/importance.csv""}"
Kaggle - predict future sales,22,21.0,Using only 1 lag of sales,2020-04-27 11:25:52,2020-04-27 11:30:30,0 days 00:04:38,Average RMSE,1.1849,1.1457,0.0392,1,0.1849,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1717043613063705, (2, '201507'): 1.0481540675420389, (3, '201508'): 1.1784147313496698, (4, '201509'): 1.301832149926375, (5, '201510'): 1.224293326661003}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_22/importance.csv""}"
Kaggle - predict future sales,23,21.0,No lags of sales,2020-04-27 11:30:31,2020-04-27 11:37:29,0 days 00:06:57,Average RMSE,1.3313,1.1457,0.1856,1,0.3313,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.340823326414762, (2, '201507'): 1.2266929959405004, (3, '201508'): 1.318975039070778, (4, '201509'): 1.4268796217177155, (5, '201510'): 1.3428977040059067}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_23/importance.csv""}"
Kaggle - predict future sales,24,21.0,Added bigrams and removed duplicate columns,2020-04-27 11:37:30,2020-04-27 11:41:01,0 days 00:03:30,Average RMSE,1.1449,1.1457,-0.0008,1,0.1449,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.140928754588843, (2, '201507'): 1.013616900662139, (3, '201508'): 1.1270253605985694, (4, '201509'): 1.2674385753475905, (5, '201510'): 1.1754393524858386}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_24/importance.csv""}"
Kaggle - predict future sales,25,24.0,TFiDF instead of BagOfWords,2020-04-27 11:41:03,2020-04-27 11:46:07,0 days 00:05:04,Average RMSE,1.1449,1.1449,0.0,1,0.1449,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1413034901780634, (2, '201507'): 1.0152077511705182, (3, '201508'): 1.1201438088584112, (4, '201509'): 1.273305747647691, (5, '201510'): 1.174632737766057}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_25/importance.csv""}"
Kaggle - predict future sales,26,25.0,"Using lags 1, 2, 3 and 6",2020-04-27 11:46:08,2020-04-27 11:49:20,0 days 00:03:11,Average RMSE,1.1667,1.1449,0.0218,1,0.1667,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 6]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""Holdout Scores"": ""{(1, '201506'): 1.1657382955531472, (2, '201507'): 1.0284306543263713, (3, '201508'): 1.141064617142836, (4, '201509'): 1.291288384782924, (5, '201510'): 1.2067743458595628}"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_26/importance.csv""}"
